year,season,genus,count,diet
2017,monsoon,Dipodomys,2,granivore
2017,monsoon,Peromyscus,19,omnivore
2017,monsoon,Sigmodon,9,herbivore
2017,post-monsoon,Chaetodipus,4,granivore/herbivore
2017,post-monsoon,Neotoma,1,herbivore
2017,post-monsoon,Onychomys,1,insectivore
2017,post-monsoon,Peromyscus,8,omnivore
2017,post-monsoon,Reithrodontomys,2,granivore/herbivore
2017,post-monsoon,Sigmodon,13,herbivore
2018,monsoon,Baiomys,5,granivore/herbivore
2018,monsoon,Chaetodipus,7,granivore/herbivore
2018,monsoon,Peromyscus,1,omnivore
2018,monsoon,Reithrodontomys,7,granivore/herbivore
2018,monsoon,Sigmodon,5,herbivore
2018,post-monsoon,Baiomys,2,granivore/herbivore
2018,post-monsoon,Chaetodipus,8,granivore/herbivore
2018,post-monsoon,Dipodomys,1,granivore
2018,post-monsoon,Onychomys,1,insectivore
2018,post-monsoon,Peromyscus,6,omnivore
2018,post-monsoon,Reithrodontomys,6,granivore/herbivore
2018,post-monsoon,Sigmodon,17,herbivore
2018,pre-monsoon,Chaetodipus,5,granivore/herbivore
2018,pre-monsoon,Dipodomys,2,granivore
2018,pre-monsoon,Onychomys,1,insectivore
2018,pre-monsoon,Peromyscus,5,omnivore
2018,pre-monsoon,Reithrodontomys,1,granivore/herbivore
2018,pre-monsoon,Sigmodon,3,herbivore
2018,spring,Chaetodipus,2,granivore/herbivore
2018,spring,Dipodomys,2,granivore
2018,spring,Neotoma,1,herbivore
2018,spring,Onychomys,7,insectivore
2018,spring,Peromyscus,8,omnivore
2018,spring,Reithrodontomys,5,granivore/herbivore
2018,spring,Sigmodon,4,herbivore
2019,monsoon,Baiomys,26,granivore/herbivore
2019,monsoon,Chaetodipus,12,granivore/herbivore
2019,monsoon,Dipodomys,3,granivore
2019,monsoon,Neotoma,1,herbivore
2019,monsoon,Onychomys,2,insectivore
2019,monsoon,Peromyscus,4,omnivore
2019,monsoon,Reithrodontomys,37,granivore/herbivore
2019,monsoon,Sigmodon,11,herbivore
2019,pre-monsoon,Baiomys,9,granivore/herbivore
2019,pre-monsoon,Chaetodipus,4,granivore/herbivore
2019,pre-monsoon,Dipodomys,4,granivore
2019,pre-monsoon,Onychomys,9,insectivore
2019,pre-monsoon,Peromyscus,8,omnivore
2019,pre-monsoon,Reithrodontomys,36,granivore/herbivore
2019,pre-monsoon,Sigmodon,9,herbivore
2019,spring,Baiomys,4,granivore/herbivore
2019,spring,Chaetodipus,2,granivore/herbivore
2019,spring,Dipodomys,5,granivore
2019,spring,Onychomys,6,insectivore
2019,spring,Peromyscus,7,omnivore
2019,spring,Reithrodontomys,31,granivore/herbivore
2019,spring,Sigmodon,8,herbivore
