year,genus,count,diet
2018,Baiomys,7,granivore/herbivore
2019,Baiomys,39,granivore/herbivore
2017,Chaetodipus,4,granivore/herbivore
2018,Chaetodipus,22,granivore/herbivore
2019,Chaetodipus,18,granivore/herbivore
2017,Dipodomys,2,granivore
2018,Dipodomys,5,granivore
2019,Dipodomys,12,granivore
2017,Neotoma,1,herbivore
2018,Neotoma,1,herbivore
2019,Neotoma,1,herbivore
2017,Onychomys,1,insectivore
2018,Onychomys,9,insectivore
2019,Onychomys,17,insectivore
2017,Peromyscus,27,omnivore
2018,Peromyscus,20,omnivore
2019,Peromyscus,19,omnivore
2017,Reithrodontomys,2,granivore/herbivore
2018,Reithrodontomys,19,granivore/herbivore
2019,Reithrodontomys,104,granivore/herbivore
2017,Sigmodon,22,herbivore
2018,Sigmodon,29,herbivore
2019,Sigmodon,28,herbivore
