"Date Time, GMT-07:00","Water Content, m³/m³ (SEN S/N: 20084300, LBL: West1)","Water Content, m³/m³ (SEN S/N: 20084302, LBL: East1)","Water Content, m³/m³ (SEN S/N: 20196321, LBL: West 2)","Water Content, m³/m³ (SEN S/N: 20327477, LBL: East 2)"
19-03-17 09:01:16.0,0.1986,0.1158,0.1957,0.1499
19-03-17 09:11:16.0,0.2015,0.1150,0.1928,0.1456
19-03-17 09:21:16.0,0.2015,0.1158,0.1928,0.1463
19-03-17 09:31:16.0,0.2022,0.1172,0.1928,0.1470
19-03-17 09:41:16.0,0.2029,0.1165,0.1935,0.1477
19-03-17 09:51:16.0,0.2029,0.1172,0.1935,0.1485
19-03-17 10:01:16.0,0.2037,0.1187,0.1935,0.1492
19-03-17 10:11:16.0,0.2029,0.1180,0.1935,0.1499
19-03-17 10:21:16.0,0.2037,0.1187,0.1942,0.1499
19-03-17 10:31:16.0,0.2029,0.1187,0.1942,0.1506
19-03-17 10:41:16.0,0.2044,0.1194,0.1949,0.1514
19-03-17 10:51:16.0,0.2037,0.1187,0.1942,0.1521
19-03-17 11:01:16.0,0.2044,0.1194,0.1949,0.1521
19-03-17 11:11:16.0,0.2044,0.1201,0.1949,0.1528
19-03-17 11:21:16.0,0.2037,0.1209,0.1949,0.1535
19-03-17 11:31:16.0,0.2044,0.1209,0.1949,0.1543
19-03-17 11:41:16.0,0.2037,0.1201,0.1949,0.1550
19-03-17 11:51:16.0,0.2044,0.1216,0.1957,0.1550
